iter	Passed	Remaining
0	0	95
1	1	90
2	2	85
3	3	81
4	4	80
5	5	79
6	5	79
7	6	78
8	7	76
9	8	75
10	9	73
11	9	72
12	10	72
13	11	71
14	12	70
15	13	69
16	14	69
17	15	68
18	16	69
19	17	68
20	17	67
21	18	66
22	19	65
23	20	64
24	21	64
25	22	63
26	23	62
27	23	60
28	24	59
29	25	58
30	25	57
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	35	46
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	39	41
49	40	40
50	41	39
51	42	38
52	43	38
53	43	37
54	44	36
55	45	35
56	45	34
57	46	33
58	47	32
59	48	32
60	48	31
61	49	30
62	50	29
63	51	28
64	52	28
65	53	27
66	54	26
67	54	25
68	55	24
69	56	24
70	57	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	64	16
80	65	15
81	65	14
82	66	13
83	67	12
84	68	12
85	69	11
86	70	10
87	70	9
88	71	8
89	72	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	77	2
97	78	1
98	79	0
99	80	0
